"Notes"	"States"	"States Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Alabama"	"01"	"4 years"	"4"	"Female"	"F"	"2013"	"2013"	29374
	"Alabama"	"01"	"4 years"	"4"	"Female"	"F"	"2014"	"2014"	29262
	"Alabama"	"01"	"4 years"	"4"	"Female"	"F"	"2015"	"2015"	28861
	"Alabama"	"01"	"4 years"	"4"	"Male"	"M"	"2011"	"2011"	31754
	"Alabama"	"01"	"4 years"	"4"	"Male"	"M"	"2012"	"2012"	31596
	"Alabama"	"01"	"4 years"	"4"	"Male"	"M"	"2013"	"2013"	30520
	"Alabama"	"01"	"4 years"	"4"	"Male"	"M"	"2014"	"2014"	30262
	"Alabama"	"01"	"4 years"	"4"	"Male"	"M"	"2015"	"2015"	30579
	"Alabama"	"01"	"5 years"	"5"	"Female"	"F"	"2011"	"2011"	29971
	"Alabama"	"01"	"5 years"	"5"	"Female"	"F"	"2012"	"2012"	30320
	"Alabama"	"01"	"5 years"	"5"	"Female"	"F"	"2013"	"2013"	30553
	"Alabama"	"01"	"5 years"	"5"	"Female"	"F"	"2014"	"2014"	29378
	"Alabama"	"01"	"5 years"	"5"	"Female"	"F"	"2015"	"2015"	29244
	"Alabama"	"01"	"5 years"	"5"	"Male"	"M"	"2011"	"2011"	31113
	"Alabama"	"01"	"5 years"	"5"	"Male"	"M"	"2012"	"2012"	31794
	"Alabama"	"01"	"5 years"	"5"	"Male"	"M"	"2013"	"2013"	31618
	"Alabama"	"01"	"5 years"	"5"	"Male"	"M"	"2014"	"2014"	30582
	"Alabama"	"01"	"5 years"	"5"	"Male"	"M"	"2015"	"2015"	30350
	"Alabama"	"01"	"6 years"	"6"	"Female"	"F"	"2011"	"2011"	29809
	"Alabama"	"01"	"6 years"	"6"	"Female"	"F"	"2012"	"2012"	29983
	"Alabama"	"01"	"6 years"	"6"	"Female"	"F"	"2013"	"2013"	30291
	"Alabama"	"01"	"6 years"	"6"	"Female"	"F"	"2014"	"2014"	30681
	"Alabama"	"01"	"6 years"	"6"	"Female"	"F"	"2015"	"2015"	29416
	"Alabama"	"01"	"6 years"	"6"	"Male"	"M"	"2011"	"2011"	31006
	"Alabama"	"01"	"6 years"	"6"	"Male"	"M"	"2012"	"2012"	31082
	"Alabama"	"01"	"6 years"	"6"	"Male"	"M"	"2013"	"2013"	31678
	"Alabama"	"01"	"6 years"	"6"	"Male"	"M"	"2014"	"2014"	31618
	"Alabama"	"01"	"6 years"	"6"	"Male"	"M"	"2015"	"2015"	30605
	"Alabama"	"01"	"7 years"	"7"	"Female"	"F"	"2011"	"2011"	29753
	"Alabama"	"01"	"7 years"	"7"	"Female"	"F"	"2012"	"2012"	29769
	"Alabama"	"01"	"7 years"	"7"	"Female"	"F"	"2013"	"2013"	30038
	"Alabama"	"01"	"7 years"	"7"	"Female"	"F"	"2014"	"2014"	30332
	"Alabama"	"01"	"7 years"	"7"	"Female"	"F"	"2015"	"2015"	30715
	"Alabama"	"01"	"7 years"	"7"	"Male"	"M"	"2011"	"2011"	31138
	"Alabama"	"01"	"7 years"	"7"	"Male"	"M"	"2012"	"2012"	30976
	"Alabama"	"01"	"7 years"	"7"	"Male"	"M"	"2013"	"2013"	31055
	"Alabama"	"01"	"7 years"	"7"	"Male"	"M"	"2014"	"2014"	31640
	"Alabama"	"01"	"7 years"	"7"	"Male"	"M"	"2015"	"2015"	31600
	"Alabama"	"01"	"8 years"	"8"	"Female"	"F"	"2011"	"2011"	29900
	"Alabama"	"01"	"8 years"	"8"	"Female"	"F"	"2012"	"2012"	29773
	"Alabama"	"01"	"8 years"	"8"	"Female"	"F"	"2013"	"2013"	29805
	"Alabama"	"01"	"8 years"	"8"	"Female"	"F"	"2014"	"2014"	30024
	"Alabama"	"01"	"8 years"	"8"	"Female"	"F"	"2015"	"2015"	30456
	"Alabama"	"01"	"8 years"	"8"	"Male"	"M"	"2011"	"2011"	30928
	"Alabama"	"01"	"8 years"	"8"	"Male"	"M"	"2012"	"2012"	31151
	"Alabama"	"01"	"8 years"	"8"	"Male"	"M"	"2013"	"2013"	31034
	"Alabama"	"01"	"8 years"	"8"	"Male"	"M"	"2014"	"2014"	31131
	"Alabama"	"01"	"8 years"	"8"	"Male"	"M"	"2015"	"2015"	31724
	"Alabama"	"01"	"9 years"	"9"	"Female"	"F"	"2011"	"2011"	29978
	"Alabama"	"01"	"9 years"	"9"	"Female"	"F"	"2012"	"2012"	29922
	"Alabama"	"01"	"9 years"	"9"	"Female"	"F"	"2013"	"2013"	29764
	"Alabama"	"01"	"9 years"	"9"	"Female"	"F"	"2014"	"2014"	29805
	"Alabama"	"01"	"9 years"	"9"	"Female"	"F"	"2015"	"2015"	30044
	"Alabama"	"01"	"9 years"	"9"	"Male"	"M"	"2011"	"2011"	31105
	"Alabama"	"01"	"9 years"	"9"	"Male"	"M"	"2012"	"2012"	30993
	"Alabama"	"01"	"9 years"	"9"	"Male"	"M"	"2013"	"2013"	31198
	"Alabama"	"01"	"9 years"	"9"	"Male"	"M"	"2014"	"2014"	31175
	"Alabama"	"01"	"9 years"	"9"	"Male"	"M"	"2015"	"2015"	31173
	"Alabama"	"01"	"10 years"	"10"	"Female"	"F"	"2011"	"2011"	31586
	"Alabama"	"01"	"10 years"	"10"	"Female"	"F"	"2012"	"2012"	30104
	"Alabama"	"01"	"10 years"	"10"	"Female"	"F"	"2013"	"2013"	30038
	"Alabama"	"01"	"10 years"	"10"	"Female"	"F"	"2014"	"2014"	29882
	"Alabama"	"01"	"10 years"	"10"	"Female"	"F"	"2015"	"2015"	29810
	"Alabama"	"01"	"10 years"	"10"	"Male"	"M"	"2011"	"2011"	32896
	"Alabama"	"01"	"10 years"	"10"	"Male"	"M"	"2012"	"2012"	31133
	"Alabama"	"01"	"10 years"	"10"	"Male"	"M"	"2013"	"2013"	31102
	"Alabama"	"01"	"10 years"	"10"	"Male"	"M"	"2014"	"2014"	31212
	"Alabama"	"01"	"10 years"	"10"	"Male"	"M"	"2015"	"2015"	31258
	"Alabama"	"01"	"11 years"	"11"	"Female"	"F"	"2011"	"2011"	32127
	"Alabama"	"01"	"11 years"	"11"	"Female"	"F"	"2012"	"2012"	31678
	"Alabama"	"01"	"11 years"	"11"	"Female"	"F"	"2013"	"2013"	30096
	"Alabama"	"01"	"11 years"	"11"	"Female"	"F"	"2014"	"2014"	30104
	"Alabama"	"01"	"11 years"	"11"	"Female"	"F"	"2015"	"2015"	29946
	"Alabama"	"01"	"11 years"	"11"	"Male"	"M"	"2011"	"2011"	33285
	"Alabama"	"01"	"11 years"	"11"	"Male"	"M"	"2012"	"2012"	32933
	"Alabama"	"01"	"11 years"	"11"	"Male"	"M"	"2013"	"2013"	31159
	"Alabama"	"01"	"11 years"	"11"	"Male"	"M"	"2014"	"2014"	31074
	"Alabama"	"01"	"11 years"	"11"	"Male"	"M"	"2015"	"2015"	31261
	"Alabama"	"01"	"12 years"	"12"	"Female"	"F"	"2011"	"2011"	31406
	"Alabama"	"01"	"12 years"	"12"	"Female"	"F"	"2012"	"2012"	32139
	"Alabama"	"01"	"12 years"	"12"	"Female"	"F"	"2013"	"2013"	31646
	"Alabama"	"01"	"12 years"	"12"	"Female"	"F"	"2014"	"2014"	30152
	"Alabama"	"01"	"12 years"	"12"	"Female"	"F"	"2015"	"2015"	30065
	"Alabama"	"01"	"12 years"	"12"	"Male"	"M"	"2011"	"2011"	32595
	"Alabama"	"01"	"12 years"	"12"	"Male"	"M"	"2012"	"2012"	33374
	"Alabama"	"01"	"12 years"	"12"	"Male"	"M"	"2013"	"2013"	33002
	"Alabama"	"01"	"12 years"	"12"	"Male"	"M"	"2014"	"2014"	31184
	"Alabama"	"01"	"12 years"	"12"	"Male"	"M"	"2015"	"2015"	31104
	"Alabama"	"01"	"13 years"	"13"	"Female"	"F"	"2011"	"2011"	31330
	"Alabama"	"01"	"13 years"	"13"	"Female"	"F"	"2012"	"2012"	31474
	"Alabama"	"01"	"13 years"	"13"	"Female"	"F"	"2013"	"2013"	32197
	"Alabama"	"01"	"13 years"	"13"	"Female"	"F"	"2014"	"2014"	31724
	"Alabama"	"01"	"13 years"	"13"	"Female"	"F"	"2015"	"2015"	30200
	"Alabama"	"01"	"13 years"	"13"	"Male"	"M"	"2011"	"2011"	32800
	"Alabama"	"01"	"13 years"	"13"	"Male"	"M"	"2012"	"2012"	32682
	"Alabama"	"01"	"13 years"	"13"	"Male"	"M"	"2013"	"2013"	33445
	"Alabama"	"01"	"13 years"	"13"	"Male"	"M"	"2014"	"2014"	32978
	"Alabama"	"01"	"13 years"	"13"	"Male"	"M"	"2015"	"2015"	31147
	"Alabama"	"01"	"14 years"	"14"	"Female"	"F"	"2011"	"2011"	30910
	"Alabama"	"01"	"14 years"	"14"	"Female"	"F"	"2012"	"2012"	31416
	"Alabama"	"01"	"14 years"	"14"	"Female"	"F"	"2013"	"2013"	31532
	"Alabama"	"01"	"14 years"	"14"	"Female"	"F"	"2014"	"2014"	32200
	"Alabama"	"01"	"14 years"	"14"	"Female"	"F"	"2015"	"2015"	31737
	"Alabama"	"01"	"14 years"	"14"	"Male"	"M"	"2011"	"2011"	32660
	"Alabama"	"01"	"14 years"	"14"	"Male"	"M"	"2012"	"2012"	32914
	"Alabama"	"01"	"14 years"	"14"	"Male"	"M"	"2013"	"2013"	32749
	"Alabama"	"01"	"14 years"	"14"	"Male"	"M"	"2014"	"2014"	33426
	"Alabama"	"01"	"14 years"	"14"	"Male"	"M"	"2015"	"2015"	33067
	"Alabama"	"01"	"15 years"	"15"	"Female"	"F"	"2011"	"2011"	31015
	"Alabama"	"01"	"15 years"	"15"	"Female"	"F"	"2012"	"2012"	31054
	"Alabama"	"01"	"15 years"	"15"	"Female"	"F"	"2013"	"2013"	31505
	"Alabama"	"01"	"15 years"	"15"	"Female"	"F"	"2014"	"2014"	31538
	"Alabama"	"01"	"15 years"	"15"	"Female"	"F"	"2015"	"2015"	32135
	"Alabama"	"01"	"15 years"	"15"	"Male"	"M"	"2011"	"2011"	32374
	"Alabama"	"01"	"15 years"	"15"	"Male"	"M"	"2012"	"2012"	32683
	"Alabama"	"01"	"15 years"	"15"	"Male"	"M"	"2013"	"2013"	32797
	"Alabama"	"01"	"15 years"	"15"	"Male"	"M"	"2014"	"2014"	32765
	"Alabama"	"01"	"15 years"	"15"	"Male"	"M"	"2015"	"2015"	33397
	"Alabama"	"01"	"16 years"	"16"	"Female"	"F"	"2011"	"2011"	31706
	"Alabama"	"01"	"16 years"	"16"	"Female"	"F"	"2012"	"2012"	31126
	"Alabama"	"01"	"16 years"	"16"	"Female"	"F"	"2013"	"2013"	31191
	"Alabama"	"01"	"16 years"	"16"	"Female"	"F"	"2014"	"2014"	31550
	"Alabama"	"01"	"16 years"	"16"	"Female"	"F"	"2015"	"2015"	31647
	"Alabama"	"01"	"16 years"	"16"	"Male"	"M"	"2011"	"2011"	33143
	"Alabama"	"01"	"16 years"	"16"	"Male"	"M"	"2012"	"2012"	32340
	"Alabama"	"01"	"16 years"	"16"	"Male"	"M"	"2013"	"2013"	32533
	"Alabama"	"01"	"16 years"	"16"	"Male"	"M"	"2014"	"2014"	32784
	"Alabama"	"01"	"16 years"	"16"	"Male"	"M"	"2015"	"2015"	32729
	"Alabama"	"01"	"17 years"	"17"	"Female"	"F"	"2011"	"2011"	32412
	"Alabama"	"01"	"17 years"	"17"	"Female"	"F"	"2012"	"2012"	31751
	"Alabama"	"01"	"17 years"	"17"	"Female"	"F"	"2013"	"2013"	31148
	"Alabama"	"01"	"17 years"	"17"	"Female"	"F"	"2014"	"2014"	31163
	"Alabama"	"01"	"17 years"	"17"	"Female"	"F"	"2015"	"2015"	31506
	"Alabama"	"01"	"17 years"	"17"	"Male"	"M"	"2011"	"2011"	34152
	"Alabama"	"01"	"17 years"	"17"	"Male"	"M"	"2012"	"2012"	33076
	"Alabama"	"01"	"17 years"	"17"	"Male"	"M"	"2013"	"2013"	32284
	"Alabama"	"01"	"17 years"	"17"	"Male"	"M"	"2014"	"2014"	32435
	"Alabama"	"01"	"17 years"	"17"	"Male"	"M"	"2015"	"2015"	32726
	"Alabama"	"01"	"18 years"	"18"	"Female"	"F"	"2011"	"2011"	32074
	"Alabama"	"01"	"18 years"	"18"	"Female"	"F"	"2012"	"2012"	31888
	"Alabama"	"01"	"18 years"	"18"	"Female"	"F"	"2013"	"2013"	31258
	"Alabama"	"01"	"18 years"	"18"	"Female"	"F"	"2014"	"2014"	30575
	"Alabama"	"01"	"18 years"	"18"	"Female"	"F"	"2015"	"2015"	30737
	"Alabama"	"01"	"18 years"	"18"	"Male"	"M"	"2011"	"2011"	33962
	"Alabama"	"01"	"18 years"	"18"	"Male"	"M"	"2012"	"2012"	33378
	"Alabama"	"01"	"18 years"	"18"	"Male"	"M"	"2013"	"2013"	32332
	"Alabama"	"01"	"18 years"	"18"	"Male"	"M"	"2014"	"2014"	31559
	"Alabama"	"01"	"18 years"	"18"	"Male"	"M"	"2015"	"2015"	31838
	"Alabama"	"01"	"19 years"	"19"	"Female"	"F"	"2011"	"2011"	34031
	"Alabama"	"01"	"19 years"	"19"	"Female"	"F"	"2012"	"2012"	32544
	"Alabama"	"01"	"19 years"	"19"	"Female"	"F"	"2013"	"2013"	32584
	"Alabama"	"01"	"19 years"	"19"	"Female"	"F"	"2014"	"2014"	31735
	"Alabama"	"01"	"19 years"	"19"	"Female"	"F"	"2015"	"2015"	31170
	"Alabama"	"01"	"19 years"	"19"	"Male"	"M"	"2011"	"2011"	35028
	"Alabama"	"01"	"19 years"	"19"	"Male"	"M"	"2012"	"2012"	34036
	"Alabama"	"01"	"19 years"	"19"	"Male"	"M"	"2013"	"2013"	33482
	"Alabama"	"01"	"19 years"	"19"	"Male"	"M"	"2014"	"2014"	32351
	"Alabama"	"01"	"19 years"	"19"	"Male"	"M"	"2015"	"2015"	31751
	"Alabama"	"01"	"20 years"	"20"	"Female"	"F"	"2011"	"2011"	36758
	"Alabama"	"01"	"20 years"	"20"	"Female"	"F"	"2012"	"2012"	34871
	"Alabama"	"01"	"20 years"	"20"	"Female"	"F"	"2013"	"2013"	33498
	"Alabama"	"01"	"20 years"	"20"	"Female"	"F"	"2014"	"2014"	33163
	"Alabama"	"01"	"20 years"	"20"	"Female"	"F"	"2015"	"2015"	32437
	"Alabama"	"01"	"20 years"	"20"	"Male"	"M"	"2011"	"2011"	36168
	"Alabama"	"01"	"20 years"	"20"	"Male"	"M"	"2012"	"2012"	35197
	"Alabama"	"01"	"20 years"	"20"	"Male"	"M"	"2013"	"2013"	34374
	"Alabama"	"01"	"20 years"	"20"	"Male"	"M"	"2014"	"2014"	33467
	"Alabama"	"01"	"20 years"	"20"	"Male"	"M"	"2015"	"2015"	32368
	"Alabama"	"01"	"21 years"	"21"	"Female"	"F"	"2011"	"2011"	36957
	"Alabama"	"01"	"21 years"	"21"	"Female"	"F"	"2012"	"2012"	37276
	"Alabama"	"01"	"21 years"	"21"	"Female"	"F"	"2013"	"2013"	35452
	"Alabama"	"01"	"21 years"	"21"	"Female"	"F"	"2014"	"2014"	33805
	"Alabama"	"01"	"21 years"	"21"	"Female"	"F"	"2015"	"2015"	33583
	"Alabama"	"01"	"21 years"	"21"	"Male"	"M"	"2011"	"2011"	36435
	"Alabama"	"01"	"21 years"	"21"	"Male"	"M"	"2012"	"2012"	36472
	"Alabama"	"01"	"21 years"	"21"	"Male"	"M"	"2013"	"2013"	35585
	"Alabama"	"01"	"21 years"	"21"	"Male"	"M"	"2014"	"2014"	34695
	"Alabama"	"01"	"21 years"	"21"	"Male"	"M"	"2015"	"2015"	33869
	"Alabama"	"01"	"22 years"	"22"	"Female"	"F"	"2011"	"2011"	34804
	"Alabama"	"01"	"22 years"	"22"	"Female"	"F"	"2012"	"2012"	37283
	"Alabama"	"01"	"22 years"	"22"	"Female"	"F"	"2013"	"2013"	37583
	"Alabama"	"01"	"22 years"	"22"	"Female"	"F"	"2014"	"2014"	35473
	"Alabama"	"01"	"22 years"	"22"	"Female"	"F"	"2015"	"2015"	33882
	"Alabama"	"01"	"22 years"	"22"	"Male"	"M"	"2011"	"2011"	34808
	"Alabama"	"01"	"22 years"	"22"	"Male"	"M"	"2012"	"2012"	36960
	"Alabama"	"01"	"22 years"	"22"	"Male"	"M"	"2013"	"2013"	37247
	"Alabama"	"01"	"22 years"	"22"	"Male"	"M"	"2014"	"2014"	36101
	"Alabama"	"01"	"22 years"	"22"	"Male"	"M"	"2015"	"2015"	35213
	"Alabama"	"01"	"23 years"	"23"	"Female"	"F"	"2011"	"2011"	33337
	"Alabama"	"01"	"23 years"	"23"	"Female"	"F"	"2012"	"2012"	34851
	"Alabama"	"01"	"23 years"	"23"	"Female"	"F"	"2013"	"2013"	37161
	"Alabama"	"01"	"23 years"	"23"	"Female"	"F"	"2014"	"2014"	37377
	"Alabama"	"01"	"23 years"	"23"	"Female"	"F"	"2015"	"2015"	35291
	"Alabama"	"01"	"23 years"	"23"	"Male"	"M"	"2011"	"2011"	33369
	"Alabama"	"01"	"23 years"	"23"	"Male"	"M"	"2012"	"2012"	35137
	"Alabama"	"01"	"23 years"	"23"	"Male"	"M"	"2013"	"2013"	37466
	"Alabama"	"01"	"23 years"	"23"	"Male"	"M"	"2014"	"2014"	37397
	"Alabama"	"01"	"23 years"	"23"	"Male"	"M"	"2015"	"2015"	36196
	"Alabama"	"01"	"24 years"	"24"	"Female"	"F"	"2011"	"2011"	31990
	"Alabama"	"01"	"24 years"	"24"	"Female"	"F"	"2012"	"2012"	32900
	"Alabama"	"01"	"24 years"	"24"	"Female"	"F"	"2013"	"2013"	34324
	"Alabama"	"01"	"24 years"	"24"	"Female"	"F"	"2014"	"2014"	36466
	"Alabama"	"01"	"24 years"	"24"	"Female"	"F"	"2015"	"2015"	36739
	"Alabama"	"01"	"24 years"	"24"	"Male"	"M"	"2011"	"2011"	32059
	"Alabama"	"01"	"24 years"	"24"	"Male"	"M"	"2012"	"2012"	32745
	"Alabama"	"01"	"24 years"	"24"	"Male"	"M"	"2013"	"2013"	34582
	"Alabama"	"01"	"24 years"	"24"	"Male"	"M"	"2014"	"2014"	36733
	"Alabama"	"01"	"24 years"	"24"	"Male"	"M"	"2015"	"2015"	36836
	"Alabama"	"01"	"25 years"	"25"	"Female"	"F"	"2011"	"2011"	31803
	"Alabama"	"01"	"25 years"	"25"	"Female"	"F"	"2012"	"2012"	31672
	"Alabama"	"01"	"25 years"	"25"	"Female"	"F"	"2013"	"2013"	32519
	"Alabama"	"01"	"25 years"	"25"	"Female"	"F"	"2014"	"2014"	33962
	"Alabama"	"01"	"25 years"	"25"	"Female"	"F"	"2015"	"2015"	36026
	"Alabama"	"01"	"25 years"	"25"	"Male"	"M"	"2011"	"2011"	31201
	"Alabama"	"01"	"25 years"	"25"	"Male"	"M"	"2012"	"2012"	31315
	"Alabama"	"01"	"25 years"	"25"	"Male"	"M"	"2013"	"2013"	32097
	"Alabama"	"01"	"25 years"	"25"	"Male"	"M"	"2014"	"2014"	33818
	"Alabama"	"01"	"25 years"	"25"	"Male"	"M"	"2015"	"2015"	35855
	"Alabama"	"01"	"26 years"	"26"	"Female"	"F"	"2011"	"2011"	31741
	"Alabama"	"01"	"26 years"	"26"	"Female"	"F"	"2012"	"2012"	31592
	"Alabama"	"01"	"26 years"	"26"	"Female"	"F"	"2013"	"2013"	31341
	"Alabama"	"01"	"26 years"	"26"	"Female"	"F"	"2014"	"2014"	32237
	"Alabama"	"01"	"26 years"	"26"	"Female"	"F"	"2015"	"2015"	33509
	"Alabama"	"01"	"26 years"	"26"	"Male"	"M"	"2011"	"2011"	31204
	"Alabama"	"01"	"26 years"	"26"	"Male"	"M"	"2012"	"2012"	30792
	"Alabama"	"01"	"26 years"	"26"	"Male"	"M"	"2013"	"2013"	31035
	"Alabama"	"01"	"26 years"	"26"	"Male"	"M"	"2014"	"2014"	31639
	"Alabama"	"01"	"26 years"	"26"	"Male"	"M"	"2015"	"2015"	33367
	"Alabama"	"01"	"27 years"	"27"	"Female"	"F"	"2011"	"2011"	31145
	"Alabama"	"01"	"27 years"	"27"	"Female"	"F"	"2012"	"2012"	31871
	"Alabama"	"01"	"27 years"	"27"	"Female"	"F"	"2013"	"2013"	31557
	"Alabama"	"01"	"27 years"	"27"	"Female"	"F"	"2014"	"2014"	31305
	"Alabama"	"01"	"27 years"	"27"	"Female"	"F"	"2015"	"2015"	32118
	"Alabama"	"01"	"27 years"	"27"	"Male"	"M"	"2011"	"2011"	29714
	"Alabama"	"01"	"27 years"	"27"	"Male"	"M"	"2012"	"2012"	30811
	"Alabama"	"01"	"27 years"	"27"	"Male"	"M"	"2013"	"2013"	30490
	"Alabama"	"01"	"27 years"	"27"	"Male"	"M"	"2014"	"2014"	30692
	"Alabama"	"01"	"27 years"	"27"	"Male"	"M"	"2015"	"2015"	31287
	"Alabama"	"01"	"28 years"	"28"	"Female"	"F"	"2011"	"2011"	31126
	"Alabama"	"01"	"28 years"	"28"	"Female"	"F"	"2012"	"2012"	31053
	"Alabama"	"01"	"28 years"	"28"	"Female"	"F"	"2013"	"2013"	31644
	"Alabama"	"01"	"28 years"	"28"	"Female"	"F"	"2014"	"2014"	31221
	"Alabama"	"01"	"28 years"	"28"	"Female"	"F"	"2015"	"2015"	31021
	"Alabama"	"01"	"28 years"	"28"	"Male"	"M"	"2011"	"2011"	30430
	"Alabama"	"01"	"28 years"	"28"	"Male"	"M"	"2012"	"2012"	29611
	"Alabama"	"01"	"28 years"	"28"	"Male"	"M"	"2013"	"2013"	30628
	"Alabama"	"01"	"28 years"	"28"	"Male"	"M"	"2014"	"2014"	30103
	"Alabama"	"01"	"28 years"	"28"	"Male"	"M"	"2015"	"2015"	30355
	"Alabama"	"01"	"29 years"	"29"	"Female"	"F"	"2011"	"2011"	31442
	"Alabama"	"01"	"29 years"	"29"	"Female"	"F"	"2012"	"2012"	31105
	"Alabama"	"01"	"29 years"	"29"	"Female"	"F"	"2013"	"2013"	31053
	"Alabama"	"01"	"29 years"	"29"	"Female"	"F"	"2014"	"2014"	31581
	"Alabama"	"01"	"29 years"	"29"	"Female"	"F"	"2015"	"2015"	31240
	"Alabama"	"01"	"29 years"	"29"	"Male"	"M"	"2011"	"2011"	30326
	"Alabama"	"01"	"29 years"	"29"	"Male"	"M"	"2012"	"2012"	30151
	"Alabama"	"01"	"29 years"	"29"	"Male"	"M"	"2013"	"2013"	29527
	"Alabama"	"01"	"29 years"	"29"	"Male"	"M"	"2014"	"2014"	30350
	"Alabama"	"01"	"29 years"	"29"	"Male"	"M"	"2015"	"2015"	29820
	"Alabama"	"01"	"30 years"	"30"	"Female"	"F"	"2011"	"2011"	31556
	"Alabama"	"01"	"30 years"	"30"	"Female"	"F"	"2012"	"2012"	31365
	"Alabama"	"01"	"30 years"	"30"	"Female"	"F"	"2013"	"2013"	31004
	"Alabama"	"01"	"30 years"	"30"	"Female"	"F"	"2014"	"2014"	30859
	"Alabama"	"01"	"30 years"	"30"	"Female"	"F"	"2015"	"2015"	31448
	"Alabama"	"01"	"30 years"	"30"	"Male"	"M"	"2011"	"2011"	30741
	"Alabama"	"01"	"30 years"	"30"	"Male"	"M"	"2012"	"2012"	30583
	"Alabama"	"01"	"30 years"	"30"	"Male"	"M"	"2013"	"2013"	30007
	"Alabama"	"01"	"30 years"	"30"	"Male"	"M"	"2014"	"2014"	29358
	"Alabama"	"01"	"30 years"	"30"	"Male"	"M"	"2015"	"2015"	30200
	"Alabama"	"01"	"31 years"	"31"	"Female"	"F"	"2011"	"2011"	32272
	"Alabama"	"01"	"31 years"	"31"	"Female"	"F"	"2012"	"2012"	31482
	"Alabama"	"01"	"31 years"	"31"	"Female"	"F"	"2013"	"2013"	31200
